Clubs;Budget
Paris Saint-Germain;700
Olympique de Marseille;250
Olympique Lyonnais;250
AS Monaco;240
OGC Nice;100
LOSC Lille;100
Stade Rennais;90
FC Nantes;75
Stade de Reims;70
RC Lens;62
Montpellier HSC;52
FC Lorient;50
Stade Brestois 29;48
ESTAC Troyes;45
RC Strasbourg ALSACE;45
Toulouse FC;40
Angers SCO;40
AJ Auxerre;32
Clermont Foot 63;25
AC Ajaccio;22
